#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3699.6206691162647    All      -2.5610922418175415       0.1454422686228085        -0.43295207351375836       0.8622866698270245        
Zeropoint     AB|MEGACAMPSF|z           5217.366091022285     All      0.17210527145168208       0.015571914311074408      -0.25510450276034974       -0.06237220652077381      
Zeropoint     AB|MEGACAMPSF|i           4527.063525788592     All      3.388233344131946         0.8395793252407913        0.6853869394252986         -0.7995947909413319       
Check         All|All|All               All                   All      0.9992463737660866        1.0005935081746742        -0.002669636848809498      0.00031967236491881046    
Lambda        AB|MEGACAMPSF|r           3699.6206691162647    All      -0.004029309834021619     5.954833091627098e-05     -0.002802778065799135      0.0012068005113757031     
Lambda        AB|MEGACAMPSF|z           5217.366091022285     All      9.538198371791649e-05     8.752380970111944e-06     -0.00013434925548682402    -3.421350187280112e-05    
Lambda        AB|MEGACAMPSF|i           4527.063525788592     All      -0.0006871885060826475    -0.0001975029994056111    -0.0012322393284311202     0.00010451749794201075    
MWEBV         All|All|All               All                   All      -0.21729066638655725      -1.9579932240240794       0.019343547031599535       -0.5661408767733528       
Redshift      All|All|All               All                   All      14.054793534649907        1.660957121712059         2.7335752704190557         -3.9150933553389047       
