#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7253.075310369286     All      0.09904864945505434        -0.041706363574434135     0.1436719373200348         -0.03943711974483508      
Zeropoint     AB|SDSS|SDSS_i            6100.575143897121     All      1.2915263336723464         -0.6031156409820326       -0.2909581455153745        -0.6301313487263797       
Zeropoint     AB|SDSS|SDSS_r            5030.677007096926     All      0.6597850818820145         1.5348534816729043        0.33640908699940714        0.3000509591888627        
Zeropoint     AB|SDSS|SDSS_g            3849.9065884300953    All      -1.0548112077443967        0.09789905565629198       -0.26412776794767345       0.36368884664229884       
Check         All|All|All               All                   All      0.9955488572650188         0.9879305327727295        -0.07500488914360603       -0.005828662640053217     
Lambda        AB|SDSS|SDSS_z            7253.075310369286     All      -2.541776063228598e-05     2.1102821144458696e-05    -0.00010097848160433628    1.0647078109755898e-05    
Lambda        AB|SDSS|SDSS_i            6100.575143897121     All      -0.00010321730676684756    0.00027150217640341934    -0.0012465929776772663     6.642874437409818e-05     
Lambda        AB|SDSS|SDSS_r            5030.677007096926     All      1.1022279745767272e-05     0.0004014994172365648     -0.002416256229379038      1.936483194327989e-05     
Lambda        AB|SDSS|SDSS_g            3849.9065884300953    All      -0.0016882450305201664     0.00013653362036879625    -0.0006541158402378122     0.0005652002543245545     
MWEBV         All|All|All               All                   All      -0.5366662215809703        -3.1178665839187047       0.032681751337140456       -0.8393234405226534       
Redshift      All|All|All               All                   All      7.332193787617673          -1.0425048335916287       17.980260100453922         -1.9255384323931968       
