#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                   ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7253.075310369286     All      0.11070871213796096        0.014492148509859248     0.2122174827636325         -0.021870608628496435     
Zeropoint     AB|SDSS|SDSS_i            6100.575143897121     All      1.0305526920476626         -0.792351281870296       -0.3765470457044451        -0.6105833612962436       
Zeropoint     AB|SDSS|SDSS_r            5030.677007096926     All      1.1952306007972033         2.251046063226525        1.0407404403233844         0.39035729731388447       
Zeropoint     AB|SDSS|SDSS_g            3849.9065884300953    All      -1.3619234055724543        -0.5413961015417357      -0.9824741862921815        0.22342942687579476       
Check         All|All|All               All                   All      0.9745685994103727         0.9317908283243526       -0.10606330890960969       -0.01866724573506079      
Lambda        AB|SDSS|SDSS_z            7253.075310369286     All      -1.7638495430731504e-05    6.049316206867658e-05    -0.00013109452114552653    1.9599904919371644e-05    
Lambda        AB|SDSS|SDSS_i            6100.575143897121     All      -0.00011163946179125722    0.000541817444527306     -0.0015083012461238599     0.00014554385524416757    
Lambda        AB|SDSS|SDSS_r            5030.677007096926     All      -0.00016820366240610104    2.395573835416307e-06    -0.002385526437498048      -5.088530478687794e-05    
Lambda        AB|SDSS|SDSS_g            3849.9065884300953    All      -0.0018081034083982385     2.931388044637725e-05    -0.0009888029565155115     0.0005543815256684009     
MWEBV         All|All|All               All                   All      -0.5387378262215403        -3.124004808311831       0.018868064540211726       -0.8412645137616553       
Redshift      All|All|All               All                   All      7.940678269444726          0.27991241055342897      18.82450955389303          -1.655312068406499        
