#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4355.949019963413    All      -0.837490524200826        0.6609586100207121         0.4973049163754283         0.510286614907157          
Zeropoint     AB|CNIa02|SDSS_i                      7451.254496839466    All      0.5471570140337474        -0.1395429327700981        0.5857372864131376         -0.19754199953265333       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5449.52139462412     All      -0.2160257655505584       0.7590774835908309         -1.687111358913239         0.242335176863282          
Zeropoint     AB|CNIa02|SDSS_r                      6144.478805211815    All      1.4993469571315932        -0.27938789856620794       0.604915635283947          -0.5523978546136483        
Check         All|All|All                           All                  All      0.9929876814139559        1.001105262275237          0.0008464791592738274      0.002681937624137376       
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4355.949019963413    All      7.794835070264584e-05     -5.957132296179816e-05     -3.371733826610307e-05     -4.62993319240717e-05      
Lambda        AB|CNIa02|SDSS_i                      7451.254496839466    All      -7.099614895982532e-05    2.707725412079576e-05      -3.3025617450488056e-06    3.1798355739918374e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5449.52139462412     All      -0.0004188592292240068    -7.596560708049423e-05     -0.003251133680659865      -3.3391430653709755e-05    
Lambda        AB|CNIa02|SDSS_r                      6144.478805211815    All      -8.488309212569545e-05    -2.2230399989596375e-05    -0.000407477886775184      2.2241764325403463e-06     
MWEBV         All|All|All                           All                  All      -0.8959411990570927       -4.078884251245984         0.10822970810556813        -1.0319594730222896        
Redshift      All|All|All                           All                  All      6.538281763309574         -0.11337763135372825       11.992793172810764         -1.6314810195401395        
