#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CNIa02|Bessell12_B 4355.949019963413 All -0.48129668424419436 0.6622875614682702 2.0057598061319952 0.4620108596588104
Zeropoint AB|CNIa02|SDSS_i 7451.254496839466 All 0.5674073075406342 -0.009457776997058076 2.07872429342087 -0.09514001835147656
Zeropoint Linear_AB11_off|CNIa02|Bessell12_V 5449.52139462412 All -0.8172520641529506 0.07616982559885876 -8.0411526641544 -0.06782280952356468
Zeropoint AB|CNIa02|SDSS_r 6144.478805211815 All 3.9025383412747106 0.9271408823685068 22.473588173923982 0.033708182710547874
Check All|All|All All All 3.171396900418201 1.6561404924385776 18.51691960932245 0.332756214494317
