#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                        6091.06457055851     All      1.308688952357581          -0.06983818192765057       -0.7984471760507761       -0.48466267016423065       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5238.569238340976    All      0.003920298361011293       0.12539958243094063        0.2742446567638446        0.05180807884253291        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6243.32064354031     All      0.13668046206790796        -0.011097020764605503      0.1664750854436292        -0.04070696942238966       
Zeropoint     AB|PS|PS_z                        8478.660720240461    All      0.32108282105586483        -0.09138749987913641       0.11077631979281577       -0.12941171502390408       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4244.124506452355    All      -0.1635492339379269        0.12385832807115804        0.09644337585275053       0.09792192329019928        
Zeropoint     AB|PS|PS_g                        4796.370217754343    All      -0.9944517110581929        1.007371993391093          -0.07411354234296841      0.6487524915792505         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8067.514422557563    All      0.011274694206728445       -0.00434047144723948       -0.007685293338255406     -0.005429332521598995      
Zeropoint     AB|PS|PS_i                        7377.598377617378    All      0.3776994074209035         -0.08361422386897743       0.23374744840189976       -0.1398339514198113        
Check         All|All|All                       All                  All      1.0013456904738776         0.9963525060055822         0.00144087452293995       -0.0015621448399519844     
Lambda        AB|PS|PS_r                        6091.06457055851     All      -0.00017643961945046417    4.878791597615482e-05      0.0003168923753705152     8.750546933302268e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5238.569238340976    All      -1.3452436152229214e-05    4.062162532835627e-05      -3.356312726833137e-05    1.6115932587890583e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6243.32064354031     All      -3.545627140877689e-05     -1.3969407954080952e-05    -7.087769974569995e-05    3.836032113855062e-06      
Lambda        AB|PS|PS_z                        8478.660720240461    All      0.0002785366543768388      -7.85370391818118e-05      0.00019486672661503233    -0.0001076146423493131     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4244.124506452355    All      -7.907830281890063e-05     5.124025601805761e-05      1.9332396038203077e-05    4.3311758011137487e-05     
Lambda        AB|PS|PS_g                        4796.370217754343    All      8.426561573686284e-05      -0.0001952003192927607     -0.0003797581664473159    -0.00010797811199768919    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8067.514422557563    All      3.743540199751168e-06      -1.3534168880670923e-06    1.3057960856775806e-06    -1.6019749264105642e-06    
Lambda        AB|PS|PS_i                        7377.598377617378    All      -6.848680521536305e-06     -7.060178906265813e-06     -0.0001028042221984759    -4.65657225600023e-06      
MWEBV         All|All|All                       All                  All      -0.7543752502706309        -4.056547411342937         0.05991080685243677       -1.07295256694903          
Redshift      All|All|All                       All                  All      3.83120053483848           1.5925959534768275         0.39209392642705065       -0.7116898089384843        
