#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                        6091.06457055851     All      1.0979342888414616         -0.051807653606150694      -0.39301474573028466       -0.39204721909207213       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5238.569238340976    All      0.005271084276206706       0.15379088608531433        0.22745604208185438        0.058528104095870254       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6243.32064354031     All      0.2894002868378125         -0.022420599048533774      0.19725762919314874        -0.09276761911624916       
Zeropoint     AB|PS|PS_z                        8478.660720240461    All      0.3067849320676505         -0.08387872113289063       0.040848203097702686       -0.12542913660461105       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4244.124506452355    All      -0.19080503655981376       0.1461828614290006         0.08756206479643013        0.11367553774134374        
Zeropoint     AB|PS|PS_g                        4796.370217754343    All      -0.9222875329154957        0.9514102056013662         -0.2945256041850495        0.5971816712519578         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8067.514422557563    All      0.04456036795163805        -0.016102496098824304      -0.027489104172595924      -0.02098660303651726       
Zeropoint     AB|PS|PS_i                        7377.598377617378    All      0.3668211990587434         -0.07947430247154941       0.16239659963967304        -0.13812611315298293       
Check         All|All|All                       All                  All      0.9976795895582032         0.9977001807577324         0.0004910847208788593      2.8622086739260588e-05     
Lambda        AB|PS|PS_r                        6091.06457055851     All      -0.00026236607451021537    -2.9693577267091925e-05    -0.0008389991141603022     3.83484099684567e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5238.569238340976    All      -8.67137676747811e-06      5.865010905428955e-05      -3.397287798992124e-06     2.177721739195627e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6243.32064354031     All      -9.386428203555478e-05     5.626767734053834e-06      -9.96246111743804e-05      2.7961719230852933e-05     
Lambda        AB|PS|PS_z                        8478.660720240461    All      0.0003725177568963404      -0.00010845891575201287    0.00010531889859308019     -0.00015197002721208512    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4244.124506452355    All      -8.285334009060927e-05     6.242377147055283e-05      2.819461741906101e-05      4.857973099269494e-05      
Lambda        AB|PS|PS_g                        4796.370217754343    All      -0.00017841959474116325    4.513600220596601e-06      -0.0004456964619423159     3.969797383572071e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8067.514422557563    All      9.751771981836339e-07      -4.62150905897261e-07      -1.7547405535154525e-06    -5.46491061860753e-07      
Lambda        AB|PS|PS_i                        7377.598377617378    All      -1.4488393396405012e-05    -1.4775383990646934e-05    -0.00017174754782980814    -7.757786529943204e-06     
MWEBV         All|All|All                       All                  All      -0.7377339729029959        -4.057621126341449         0.031181317378770147       -1.0800049879340592        
Redshift      All|All|All                       All                  All      5.058492311072303          0.7104727055351034         4.3136825968973795         -1.2237931888476414        
