#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5372.8605049178805    All      -0.0011414914933737252     0.5220175171206876        -5.771875463412786        -0.0871621921412021        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7554.644916267989     All      0.7120387208749461         -0.09926757705986944      3.440323752562793         -0.11074330418036253       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4391.761435219722     All      -0.9132746917375294        0.7895781176596728        3.2221523956861744        0.6984650448228692         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6165.511556615788     All      1.2021011474500751         -0.21733580268818997      -0.7796452274589558       -0.4971492984691017        
Check         All|All|All                                All                   All      0.999723685094118          0.9949922550323009        0.11095545737722579       0.003410250032202855       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5372.8605049178805    All      3.8388228472642144e-05     0.00011787861006920388    -0.0010009440040407976    -1.8774901288934053e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7554.644916267989     All      -0.00024856144727720665    3.7366764993724747e-05    -0.0012273863960873602    3.8363607819857676e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4391.761435219722     All      -0.00037160498169731566    4.0122898021320364e-05    -0.0020763514164929566    4.1455288488306495e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6165.511556615788     All      -0.0002567158077599087     6.770897963990748e-05     0.00029112941556454404    0.00011866759522220154     
MWEBV         All|All|All                                All                   All      -0.8110103243606899        -4.06514452088107         0.6249538029370871        -1.0320897477257327        
Redshift      All|All|All                                All                   All      5.645354155020237          -0.9414556575972455       8.531577964770282         -1.7648155151283238        
