#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5372.8605049178805    All      -0.06060673322867022       0.5377306806308546       -6.162924597450453        -0.08012483908507728      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7554.644916267989     All      0.7282356645365904         -0.10756931356858956     3.5292526633985633        -0.11475484143960157      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4391.761435219722     All      -0.8458578196576854        0.7825981364153911       3.583434944784736         0.6903539229669658        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6165.511556615788     All      1.1784825394273304         -0.21858794575218        -0.8282670084453769       -0.4920335717708557       
Check         All|All|All                                All                   All      1.0002536510775655         0.9941715577254762       0.12149600228746915       0.0034406706714312785     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5372.8605049178805    All      1.1146309868373197e-05     0.0001570719146483379    -0.0012479088705706967    -8.155671168801552e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7554.644916267989     All      -0.00023141447789205098    4.04757873692824e-05     -0.0010759322442342272    4.054968983753885e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4391.761435219722     All      -0.00042066963806265033    9.066615101916666e-05    -0.0017970949884759367    8.636279337479273e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6165.511556615788     All      -0.0001554593216617296     5.784330572340736e-05    0.0006057425202424869     9.651118979099599e-05     
MWEBV         All|All|All                                All                   All      -0.8056343951955132        -4.0679944509909305      0.6451582630638331        -1.0338675484546165       
Redshift      All|All|All                                All                   All      5.391082816116557          -1.331474850560177       6.049667993799218         -1.9197893001714144       
