#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5385.572249790723    All      0.6685785171914989         0.22068408780702153       0.18493911822705655       -0.13764096748774285       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7401.685523408516    All      0.38844287105195036        -0.03404012580012772      0.29924341517678227       -0.1242627521084231        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6099.570791786927    All      1.2481156421597943         0.02353375639209121       0.5200944803203378        -0.3756771797927742        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4627.128004477769    All      -0.6613621196970337        0.47933143542059353       -0.34447561385016895      0.3561890540782261         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4297.509373818092    All      -0.6422170561640783        0.30510263109641          -0.5256866269439497       0.28511420826357237        
Check         All|All|All                      All                  All      1.0015578545421313         0.9946117849159886        0.1341147729300578        0.003722362952858327       
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5385.572249790723    All      -1.482814517851632e-05     8.778799109344985e-05     -0.0007786720954303416    -1.3231077530914113e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7401.685523408516    All      4.2814807141914754e-05     1.1952343540513613e-05    5.3217352134826515e-05    -7.678073732550459e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6099.570791786927    All      -0.00017862422632070046    7.673867934458915e-06     -0.0003690783596203664    4.4213146249892234e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4627.128004477769    All      -0.0002970796463898213     -2.232408459047228e-05    -0.0006450492125412156    6.071134191570113e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4297.509373818092    All      -0.0001949645874073599     5.857577554563704e-05     -0.0003950514535319647    6.495710547854e-05         
MWEBV         All|All|All                      All                  All      -0.8435494345316679        -3.982631776331047        0.2192822623464208        -1.012716831224078         
Redshift      All|All|All                      All                  All      7.658319290127985          -0.4225215963960416       8.54480385721591          -2.25088037722653          
