#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5385.572249790723    All      0.5088079420334213         0.1749564115217872        -0.23623105272166142      -0.11928833378973998       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7401.685523408516    All      0.47247177006108615        -0.06784004624655893      0.25081614459250207       -0.16480456172588673       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6099.570791786927    All      1.2660930044133205         -0.07539234039954934      -0.009350409605078486     -0.437383176198295         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4627.128004477769    All      -0.58197658309843          0.5239768198603834        0.048954270764566724      0.3624300123952961         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4297.509373818092    All      -0.6667766707659661        0.4416670161460523        -0.05213397065389949      0.3587300758737571         
Check         All|All|All                      All                  All      0.9986194626434317         0.9973678608821146        0.0020549823764293915     -0.00031598344486849506    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5385.572249790723    All      0.00014679424144823847     2.478185663517737e-05     -0.0009136404039165744    -8.051502285004293e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7401.685523408516    All      -4.097259370453966e-05     -2.852939799291426e-06    -0.0002903518857503447    -5.402457467586306e-07     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6099.570791786927    All      -0.00022077354832059824    -8.740330188187892e-06    -0.0005715318246773465    4.3561354446779766e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4627.128004477769    All      -0.00019847803346311095    7.126611322969895e-06     -0.000674637478364493     3.686622483718087e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4297.509373818092    All      -0.000343151807838462      0.00010947711748411813    -0.0004645755557898749    0.00012670425869034765     
MWEBV         All|All|All                      All                  All      -0.8533691228960167        -4.013534084207393        0.03420035125463267       -1.0278434896382709        
Redshift      All|All|All                      All                  All      6.926452203567726          -0.8120866853410291       8.659595653757185         -2.1342587245420264        
