#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4134.573312486369    All      -3.100097935472112       0.5304611423646577         -1.4228881618282063       1.119095569923878         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4951.155629777784    All      4.029362371645367        0.4569660018407973         1.3095476115923321        -1.1052079306242413       
Check         All|All|All                            All                  All      0.9292644361732553       0.987427144205455          -0.1133405502358742       0.013887639299636767      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4134.573312486369    All      -0.001755446148172017    0.00018173384162372633     -0.0015520604521631507    0.0005617419243809094     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4951.155629777784    All      0.0005636963016389135    -0.00010856008754705056    -0.0013291161041077888    -0.0002782883698530069    
MWEBV         All|All|All                            All                  All      -0.03533544549440082     -2.1361764725069676        0.015757523587067723      -0.6836098522088399       
Redshift      All|All|All                            All                  All      5.20917307265907         0.9718078369644445         8.31581274681028          -1.0091527326975949       
