#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5928.01846921769     All      0.8016788401555782        0.018062920447103892       -2.1213303986427787       -0.3499147180203697       
Zeropoint     AB|PS|PS_i                7180.114236906884    All      0.9116363353245625        -0.08663280841574306       1.5052764090840731        -0.2579955295426018       
Zeropoint     AB|PS|PS_g                4667.980597921374    All      -0.9943158035647583       1.1366827265107737         0.6381973424450312        0.7226161452737789        
Zeropoint     AB|PS|PS_z                8251.703255085891    All      0.2793693201344509        -0.06896903012121314       -0.004319163920887395     -0.11365800511818425      
Check         All|All|All               All                  All      0.9983686920498333        0.9991438084209214         0.017824188965438234      0.0010478925926231675     
Lambda        AB|PS|PS_r                5928.01846921769     All      -7.94586584835047e-05     -1.5123817664421023e-05    -0.0001843679550471078    1.2728479145807787e-05    
Lambda        AB|PS|PS_i                7180.114236906884    All      -0.0006249106209062636    1.9365348381126703e-05     -0.0016957376419541273    0.00013418889652758138    
Lambda        AB|PS|PS_g                4667.980597921374    All      -6.502805175641872e-05    -9.0818632145642e-05       -0.0008617722215977166    -4.685777679091546e-05    
Lambda        AB|PS|PS_z                8251.703255085891    All      0.0001358529271657727     -2.7667221585345024e-05    9.292272319255409e-05     -4.911717774388855e-05    
MWEBV         All|All|All               All                  All      -0.6663683298971912       -3.9189744435573104        0.13939971123442174       -1.0532600499091218       
Redshift      All|All|All               All                  All      6.9107144261175035        0.2504718047329213         10.959149913166542        -1.6804036101891746       
