#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4135.988987946789     All      -2.307357186124583        0.7472539483044827        -0.45995944210145356      0.9744614628212269        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5174.3398222633705    All      3.3060961620905243        0.2539433369213029        0.45854060670243774       -0.973724026726706        
Check         All|All|All                                All                   All      0.9987389759659412        1.0011972852257855        -0.0014188353990158276    0.0007374360945209268     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4135.988987946789     All      -0.0014902047805890474    0.00037791461366663034    -0.0012799075785221452    0.0005513915491850631     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5174.3398222633705    All      0.0007765911288064027     2.6247463965986363e-05    -0.003406155000315099     -0.0003964126709718518    
MWEBV         All|All|All                                All                   All      -0.8393291131372749       -3.8052499350461844       0.014184282871220822      -0.9654650081939911       
Redshift      All|All|All                                All                   All      6.15851865284186          -0.6544394285461941       14.809947440622073        -1.5583046521247004       
