#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                   ds/dP                    dc/dP                     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4135.988987946789     All      -2.2653873620380347       0.7372538301179787       -0.10297756196892827     0.9734636046144204        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5174.3398222633705    All      3.2694422407049557        0.262974575828423        0.1136019632315341       -0.9742358944344668       
Check         All|All|All                                All                   All      1.0040548786669212        1.0002284059464017       0.010624401262605832     -0.0007722898200464012    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4135.988987946789     All      -0.0014890034719613687    0.0003801266339948463    -0.001387972559949373    0.0005468983274407658     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5174.3398222633705    All      0.0007422153595680015     3.321066692591515e-05    -0.00355734325038682     -0.0003896940449332511    
MWEBV         All|All|All                                All                   All      -0.8364528492473657       -3.8060896610259576      0.022668649380916395     -0.9662968100369401       
Redshift      All|All|All                                All                   All      6.182834296920134         -0.5747416365679214      15.018057094116246       -1.530977886512746        
