#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4766.392592899208     All      1.1095295271627132         0.5411920274189796         2.2607904344558754        -0.08423752776002559       
Zeropoint     AB|SDSS|SDSS_g            3647.6534312498966    All      -1.2203099886493824        0.3407760433114859         -1.0533946572327573       0.46148891332898395        
Zeropoint     AB|SDSS|SDSS_i            5780.084099471189     All      0.9706146123536801         0.09429326853087616        -1.3894150117499244       -0.34744990242102397       
Zeropoint     AB|SDSS|SDSS_z            6872.038174248503     All      0.1401051290285754         0.023431702321730086       0.20187828832033453       -0.02899547270584999       
Check         All|All|All               All                   All      0.9999392798955862         0.9996930415830718         0.019859053793528175      0.0008060104420844136      
Lambda        AB|SDSS|SDSS_r            4766.392592899208     All      -3.8203729453505405e-05    -2.5897170927592643e-05    -0.0004185124168339687    -1.4667636019655037e-05    
Lambda        AB|SDSS|SDSS_g            3647.6534312498966    All      -0.002322315611010466      0.0004644731243924528      -0.004159643295316956     0.0007221229980275231      
Lambda        AB|SDSS|SDSS_i            5780.084099471189     All      -0.0001349319143100913     -3.8134475247325266e-06    0.00036361610057897113    5.8936114841914596e-05     
Lambda        AB|SDSS|SDSS_z            6872.038174248503     All      -7.195493400052923e-05     -1.1265086163150753e-05    -9.489502845554836e-05    1.5533950794452232e-05     
MWEBV         All|All|All               All                   All      -0.5648010858166619        -2.8661825654857864        0.11522624424624849       -0.744493643064296         
Redshift      All|All|All               All                   All      5.402794891663777          -0.8736451761958364        -0.09924085116099267      -2.0488716822373516        
