#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              5984.123374312574     All      0.657185400873283          -0.0007237851878727497    -0.3598940114204229        -0.23036308326571786       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3458.3677581846373    All      -0.130983561630164         0.05498743599838818       0.011545955637461433       0.06109211516315453        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4622.896757760228     All      -0.34463178503827496       0.37667745179295054       0.014386687474882991       0.23559616059129787        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6031.740394590782     All      0.5514723797051921         -0.026097600472851923     0.3062520385027204         -0.17446692211829687       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7316.507128017167     All      0.2593607798270957         -0.04278775822648129      0.04058847235950147        -0.09660844213039912       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7343.585750344044     All      0.23470590387928775        -0.0455347483877766       0.18667367459999681        -0.08295321135077029       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5169.54201273934      All      0.19453883242038186        0.22000645401440977       -0.30433581022017825       -0.005285467233269225      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4218.771727660533     All      -0.23693245253378517       0.12667438321427582       0.06371326128058463        0.12128193893925117        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4231.847313034668     All      -0.3869169331613677        0.21208779218850893       -0.19218764372910513       0.18653909386286296        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5222.739675637119     All      0.19712856553747812        0.12160252402866334       0.23414520399878497        -0.014152491387941774      
Check         All|All|All                                All                   All      0.9949271298791268         0.996892148962214         0.0008878284842264439      0.000679691070171384       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              5984.123374312574     All      -0.00010100498283284102    9.661351949011841e-06     -0.0006108997444462967     8.786016219123845e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3458.3677581846373    All      -0.00035252128795899704    0.00011838218776382577    2.1864242148516817e-05     0.0001543644550153647      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4622.896757760228     All      -0.00013573101920269436    -4.492953063675431e-05    -0.000653519347158514      4.1346514828131164e-07     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6031.740394590782     All      -0.00012171383504472905    1.013985916151016e-05     -0.00019040255905948685    3.445229433716271e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7316.507128017167     All      -5.574445711284219e-05     2.2022362937536443e-06    -0.00044958875141704475    -1.1879366571789276e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7343.585750344044     All      -0.00010724464477886186    2.2625823059189296e-05    -0.00020709118001174755    3.3061555757798615e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5169.54201273934      All      2.5245447604870777e-05     7.592376534497644e-05     -0.001177441173196317      -3.6036196412960845e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4218.771727660533     All      -0.00014338621612787996    6.41831440889777e-05      -3.4215697707182756e-05    6.608528001008913e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4231.847313034668     All      -0.0002836471078485804     0.00010060772417728205    -0.00045754851554849723    0.00010474615159469653     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5222.739675637119     All      5.1032823477765464e-05     3.3034789817835065e-05    -9.129676994535514e-05     -9.936707212522493e-06     
MWEBV         All|All|All                                All                   All      -0.90574342506752          -3.87695403555135         0.025192491222500276       -0.9666968205818721        
Redshift      All|All|All                                All                   All      8.930213698154894          -0.7570380011965305       17.45903576311821          -2.376339999936232         
