#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              5984.123374312574     All      0.6257093810387502         0.018619382961482245       -0.2713225118097684        -0.2098570626043017        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3458.3677581846373    All      -0.12853972014719414       0.05501967160412846        0.0033596480066844236      0.059941258478253545       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4622.896757760228     All      -0.32811444242353094       0.37237592119456764        0.18268201821498575        0.23632501632363245        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6031.740394590782     All      0.5496409434066931         -0.030338855479428162      0.2153726189051408         -0.17930741045476123       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7316.507128017167     All      0.2708335891440576         -0.04087708362305875       0.04067403546170745        -0.09971932570321251       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7343.585750344044     All      0.2445989131644459         -0.044186138703583566      0.141194408603873          -0.0877659341658954        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5169.54201273934      All      0.18528901233418027        0.2400328859292422         -0.3486927839832177        0.0022713231887169782      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4218.771727660533     All      -0.23784283626636704       0.09222074941863667        0.06549841623668673        0.11043546212033545        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4231.847313034668     All      -0.3801791789008988        0.21518554493091813        -0.22704926810153125       0.183797711433846          
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5222.739675637119     All      0.1933747085055833         0.11915645740110392        0.19698486155994566        -0.01538479643998919       
Check         All|All|All                                All                   All      0.9947703698557193         0.9972085356340088         -0.0012985569054935198     0.0007362421766243799      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              5984.123374312574     All      -3.295791851027317e-05     5.0263350022973765e-06     -9.581439253793288e-05     8.09696473448656e-06       
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3458.3677581846373    All      -0.0002284872745818833     7.416947216175194e-05      -3.7718569272721546e-05    9.690205301409524e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4622.896757760228     All      -9.725848546010249e-05     -4.0561353580755014e-05    -0.00047030191666090225    -2.5192933886632347e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6031.740394590782     All      -9.764306874123794e-05     9.560422414171199e-06      -9.545304691770221e-05     3.066007287546708e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7316.507128017167     All      -1.4818183362981933e-05    -6.547473940745768e-06     -0.00020546883747656584    -6.475088375261681e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7343.585750344044     All      -8.534442938518718e-05     1.9114133544341818e-05     -0.00012108897979097211    2.8621945504288544e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5169.54201273934      All      2.099550392513957e-05      6.871653812164215e-05      -0.0010186305127036124     -2.99124905680431e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4218.771727660533     All      -0.00017352279637235484    4.279882889515818e-05      -0.00010022993126326562    6.599026862685525e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4231.847313034668     All      -0.00030600771200011117    9.504698038167973e-05      -0.0007030642429279051     9.926217951161822e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5222.739675637119     All      6.122612860870935e-05      2.428141174688462e-05      -0.00011196425010032313    -1.7030559975755372e-05    
MWEBV         All|All|All                                All                   All      -0.9100660291988518        -3.8749055519162745        0.029355712557688207       -0.9644357622465862        
Redshift      All|All|All                                All                   All      7.872549042859097          -0.4931005915180364        11.393116732139452         -2.216544834551801         
