#Format:      
#Parameter    MagSys|Instrument|Band                  RestLamb             Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_V    5385.592464278533    All      3.4073785861166073       -0.033618992900130706      0.48940317043316695       -1.099006301194591        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_B    4380.230581907591    All      -2.4090437096304935      1.0356562038031925         -0.4872941548362153       1.100306388997109         
Check         All|All|All                             All                  All      0.9983348764861137       1.0020372109030617         0.0021090155969516466     0.0013000878025180018     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_V    5385.592464278533    All      0.0014931216626997183    -0.00028632285986477795    -0.0019536481529070266    -0.0006668059672679997    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_B    4380.230581907591    All      -0.002008500446958709    0.0005496249099863438      -0.0024085168536496985    0.0007257845433208613     
MWEBV         All|All|All                             All                  All      -0.960513522012648       -4.069510448700164         0.027897061721993133      -1.0114576642448219       
Redshift      All|All|All                             All                  All      0.9392562376740727       1.2641804607871343         9.416777398872611         0.5260660347747914        
