#Format:      
#Parameter    MagSys|Instrument|Band                  RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_V    5385.592464278533    All      3.3738775644093164        0.013055261749084224       0.5819130283408336        -1.0687622859210222       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_MC_B    4380.230581907591    All      -2.374945796515918        0.9886328399549171         -0.5809234583677695       1.0697042744867917        
Check         All|All|All                             All                  All      0.9989317678933987        1.0016881017040014         0.0009895699730640972     0.000941988565769547      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_V    5385.592464278533    All      0.0011589971872939958     -0.00026035285828880785    -0.0019997056729694337    -0.0005515666849445004    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_MC_B    4380.230581907591    All      -0.0016250828728234723    0.0003186792363575796      -0.0029332671579103907    0.000502249025585449      
MWEBV         All|All|All                             All                  All      -0.9686145837536428       -4.065207091396106         0.034022938272941526      -1.0071437671332477       
Redshift      All|All|All                             All                  All      0.9014720281715767        1.9441815025842857         10.322434253228638        0.800287611434864         
