#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6080.511300204193    All      -2.1715619776700867       3.579689137796027         -0.2246568786920572        1.8633462941645937         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7450.493500917499    All      3.1678544999858773        -2.572545234287471        0.22446419870499876        -1.859820240733148         
Check         All|All|All                                All                  All      0.9962925223157902        1.007143903508556         -0.00019267998705843614    0.0035260534314458525      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6080.511300204193    All      0.00034109768355563       -0.0007941684833380946    -0.0010858356354923912     -0.00041824939705413104    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7450.493500917499    All      -0.0009118024748214729    0.0006657655030227503     -0.0004469786299301095     0.0004939191874735499      
MWEBV         All|All|All                                All                  All      -0.3744300177837854       -4.4305540485802375       0.01426040459489359        -1.3205766629859779        
Redshift      All|All|All                                All                  All      11.750758137934001        -3.393772324076494        4.4187931411195205         -4.73588136862447          
