#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6080.511300204193    All      -2.0582422253333506       3.4670582748254297        0.05626568010757005        1.8022830287731328        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7450.493500917499    All      3.0557899155995227        -2.4603560970246185       -0.05177874778614644       -1.7991008798276364       
Check         All|All|All                                All                  All      0.9975476902661724        1.0067021778008112        0.004486932321423609       0.003182148945496399      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6080.511300204193    All      0.000821317450925801      -0.0015997162760108246    -0.0012149221825903528     -0.0008428267315802946    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7450.493500917499    All      -0.0012097484975701215    0.0008791712541735448     -0.00046485333524519184    0.0006596856172036075     
MWEBV         All|All|All                                All                  All      -0.399246791410631        -4.3958292453697645       0.020591141993642204       -1.3008995008162882       
Redshift      All|All|All                                All                  All      9.451363871738096         0.6629338032849041        4.509235614044682          -2.661454328771684        
