#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6149.816283401705    All      3.00299895686803          -0.8032783081800332        0.14489495387643042        -1.2333637317156327       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5135.541716588697    All      -2.0053044082626865       1.8070780939035913         -0.14145916298022046       1.2355057318690514        
Check         All|All|All                            All                  All      0.9976945486053433        1.003799785723558          0.0034357908962099615      0.0021420001534186994     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6149.816283401705    All      -0.0005869467316568983    0.00015517895191196522     -2.2576981774929924e-05    0.00024072724334387564    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5135.541716588697    All      -8.929488986605639e-05    -3.0025787923223382e-05    -0.0005200961294415877     -3.903605143538932e-06    
MWEBV         All|All|All                            All                  All      -0.49653217182419285      -2.9169103115918915        -0.007273686786175677      -0.7887213794323794       
Redshift      All|All|All                            All                  All      6.18933165869808          -1.263390722709623         -5.957283170194804         -2.6934430539818863       
