#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6149.816283401705    All      3.0161406258989754         -0.7621360299804536        0.3525785823418337        -1.2149750456347224       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5135.541716588697    All      -2.029900903097661         1.7632004720958605         -0.3964648853734043       1.2178455002923014        
Check         All|All|All                            All                  All      0.986239722801314          1.001064442115407          -0.043886303031570595     0.002870454657579069      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6149.816283401705    All      -0.0006532298534412113     0.00016482382121878972     -0.0001156602120194905    0.0002613056109489677     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5135.541716588697    All      -2.3723550669271646e-05    -0.00015296683927394728    -0.0007534797769629449    -7.572313291485313e-05    
MWEBV         All|All|All                            All                  All      -0.5024123016705202        -2.9184840165481063        -0.03169166523446787      -0.7884082973989278       
Redshift      All|All|All                            All                  All      7.356885997012476          -1.1835745982736512        -5.016114776564906        -3.005755152988769        
