#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5402.541448009044    All      -0.4525044930961768        1.47771776934702           0.5920676467513377         0.6551581531101401         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4318.39668507071     All      -0.5949699619405026        0.33559101038767025        -0.1846603883946946        0.2948737782143647         
Zeropoint     AB|CNIa02|SDSS_i                      7387.017747751336    All      1.159944857583182          -0.4525162037149144        0.34625739112554643        -0.5097797389947546        
Zeropoint     AB|CNIa02|SDSS_r                      6091.50767887931     All      0.87465410418409           -0.3564582601534916        -0.7570995634970005        -0.43479967574484385       
Check         All|All|All                           All                  All      0.9871245067305923         1.0043343158662843         -0.003434914014810886      0.005452516584906475       
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5402.541448009044    All      -0.00030701840999832413    0.00023821589785855124     -0.0011832050829980267     0.00012479974315509634     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4318.39668507071     All      -0.00048364642909706594    0.00027324005274820387     -0.0001528180903034826     0.00023972325846048623     
Lambda        AB|CNIa02|SDSS_i                      7387.017747751336    All      0.0002664460295205128      -0.00018903163758265642    -0.00030209853294851675    -0.00016184533098277396    
Lambda        AB|CNIa02|SDSS_r                      6091.50767887931     All      0.00013678336147380257     -4.701673998530384e-05     -5.6737626816473294e-05    -6.240167958728445e-05     
MWEBV         All|All|All                           All                  All      -0.7494234533445234        -4.09848573985645          0.06518519790782895        -1.0879908515956203        
Redshift      All|All|All                           All                  All      5.119219229429417          -1.7883161411974768        0.6962110586466771         -2.2189428194111724        
