#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5402.541448009044    All      -0.2857987322131814       1.3889164799242515         0.8176422663840888         0.581997460140734          
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4318.39668507071     All      -0.6932704728945054       0.3960650552167877         -0.2159606251113333        0.3451950887527819         
Zeropoint     AB|CNIa02|SDSS_i                      7387.017747751336    All      0.9822006802186733        -0.4067745242997134        0.15779103878956202        -0.44539343068541265       
Zeropoint     AB|CNIa02|SDSS_r                      6091.50767887931     All      0.9859118963323446        -0.3748408716046647        -0.757675960797155         -0.47705354220398033       
Check         All|All|All                           All                  All      0.9890433714433313        1.003366139236661          0.0017967192651624497      0.004745576004122787       
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5402.541448009044    All      -0.000291018670311039     0.00016679316532089598     -0.001357301396817403      8.855424894721524e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4318.39668507071     All      -0.0005415451675190954    0.0003152299343211047      -0.00014456820148846686    0.00027262842287826715     
Lambda        AB|CNIa02|SDSS_i                      7387.017747751336    All      0.0002022179415894788     -0.00015577257000902166    -0.00030914280327929176    -0.00013040491063445064    
Lambda        AB|CNIa02|SDSS_r                      6091.50767887931     All      0.00018358032145766542    -6.776514641012052e-05     -8.248709803718747e-05     -8.555250824067773e-05     
MWEBV         All|All|All                           All                  All      -0.7852731995308964       -4.083652581547259         0.05655753657693996        -1.0718667750831667        
Redshift      All|All|All                           All                  All      4.833937347295395         -1.515071202500362         0.8933249783357966         -2.02821596995562          
