#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6187.9842665415135    All      3.0830790670498596        -0.8688445679309709       0.5419016970838861        -1.263088958462651       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5167.414745085756     All      -2.0851330405529755       1.8726717610366705        -0.5359134646481807       1.2652718752224252       
Check         All|All|All                            All                   All      0.9979460264968845        1.0038271931056997        0.005988232435705454      0.0021829167597742227    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6187.9842665415135    All      -0.0010218125109253042    0.00016908665883841735    -0.001834281983423119     0.0003060594586432424    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5167.414745085756     All      -0.0003702550982057233    8.209470296717998e-05     -0.0016796098309352688    7.239193952272683e-05    
MWEBV         All|All|All                            All                   All      -0.509459517885904        -2.939609007301769        -0.01222681204354256      -0.7921252647119968      
Redshift      All|All|All                            All                   All      8.741914925684297         -1.827654841792814        3.8823652955303904        -3.2696044697034035      
