#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6187.9842665415135    All      3.2671357110866843        -0.9279519305831485       1.3885688035106813        -1.304512610941           
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5167.414745085756     All      -2.266252732360271        1.931541151457239         -1.3620421094971358       1.3065778875623462        
Check         All|All|All                            All                   All      1.000882978726413         1.0035892208740904        0.02652669401354557       0.002065276621346257      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6187.9842665415135    All      -0.00101021327596218      0.00012018606767162953    -0.0026146642540004783    0.00025152779831783196    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5167.414745085756     All      -0.0005176410016629962    0.00029217016526523825    -0.0012119500469669534    0.00020969837475366836    
MWEBV         All|All|All                            All                   All      -0.5105146663111415       -2.9388170655305856       -0.01298906226708807      -0.7915576223941484       
Redshift      All|All|All                            All                   All      7.921450178343351         -2.3335859405513304       1.107907419936227         -3.2909618248740777       
