#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3742.509667050721     All      -1.050678677365127        0.46183376438371226        -0.12585747549292203       0.4870586213701332        
Zeropoint     AB|SDSS|SDSS_r            4890.341336449777     All      0.6656606531005721        0.3739920492716209         -0.1813176779440633        -0.10309743508380713      
Zeropoint     AB|SDSS|SDSS_z            7050.7436586852255    All      0.1209823843673211        0.014133286916617749       0.1395468785451718         -0.028576929996747494     
Zeropoint     AB|SDSS|SDSS_i            5930.393615060274     All      1.2619045729776868        0.14881495993481764        0.16991750953815565        -0.35498726848082796      
Check         All|All|All               All                   All      0.997868933080453         0.9987740605067685         0.0022892346463421476      0.00039698780875063733    
Lambda        AB|SDSS|SDSS_g            3742.509667050721     All      -0.0017470416423272777    0.0005353678338102381      -0.0020372365119301432     0.0006525433465808098     
Lambda        AB|SDSS|SDSS_r            4890.341336449777     All      -0.000114937562543756     -3.6767949385181367e-05    -0.0011111738319645244     -2.412416997412548e-05    
Lambda        AB|SDSS|SDSS_z            7050.7436586852255    All      -4.816592787694288e-05    -6.0264548882066e-06       -5.89317914339045e-05      1.1096357512147025e-05    
Lambda        AB|SDSS|SDSS_i            5930.393615060274     All      -0.0001571440810514347    -2.0993635122110934e-05    -3.7461711969522494e-05    4.2676935306025794e-05    
MWEBV         All|All|All               All                   All      -0.5455023315744767       -2.97648178326142          0.15776262753490342        -0.7848097627735053       
Redshift      All|All|All               All                   All      4.543478668897508         -0.06737867557298216       5.067913868714633          -1.275750209920712        
