#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                5606.111690856109     All      1.357741422347959          0.2760577670155584        1.308618769514458         -0.29394230746218886      
Zeropoint     AB|PS|PS_r                4027.4271403796747    All      -0.5192000048132924        0.45440514285832734       -0.8588604215797435       0.2788082312427345        
Zeropoint     AB|PS|PS_i                4878.086513883864     All      0.5829180223336422         0.19162954206350946       -0.8732667723082566       -0.1664254163115192       
Zeropoint     AB|PS|PS_g                3171.3719936023213    All      -0.4346354579677569        0.07586293166284008       0.42401398902971454       0.18520791730542926       
Check         All|All|All               All                   All      0.9868239819005518         0.9979553836002353        0.0005055646561724636     0.003648424774455733      
Lambda        AB|PS|PS_z                5606.111690856109     All      0.00011578607874527756     6.766010558339822e-06     -0.0005019956200604799    -5.79131818030044e-05     
Lambda        AB|PS|PS_r                4027.4271403796747    All      -0.00019343698765676666    0.0001597969040251666     -0.0006592226241015893    8.564182155700831e-05     
Lambda        AB|PS|PS_i                4878.086513883864     All      -0.00024158904457312385    -6.042144340108585e-05    -0.0006818156188200356    2.8585948336707856e-05    
Lambda        AB|PS|PS_g                3171.3719936023213    All      -0.001275350812774669      9.600946446187335e-05     -0.0007159771784806849    0.0004147463855976184     
MWEBV         All|All|All               All                   All      -0.37778505332397905       -2.2150121716098425       0.4914804739575951        -0.5765127991380042       
Redshift      All|All|All               All                   All      4.62220448218021           0.6350820123991241        7.345786159752632         -0.9709282625065069       
