#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                5606.111690856109     All      1.4418575499941721         0.28326446412876294       1.2833888190032572        -0.320120136046242         
Zeropoint     AB|PS|PS_r                4027.4271403796747    All      -0.551149991719021         0.4737485537242847        -0.82432843120364         0.29705718253042573        
Zeropoint     AB|PS|PS_i                4878.086513883864     All      0.4810221385759733         0.15994659427835956       -0.9098402389547237       -0.1451868589688635        
Zeropoint     AB|PS|PS_g                3171.3719936023213    All      -0.38495761893096725       0.08124440835626245       0.4556853274955823        0.17219248115769528        
Check         All|All|All               All                   All      0.9867720779201573         0.9982040204876697        0.004905476340475889      0.003942668673015515       
Lambda        AB|PS|PS_z                5606.111690856109     All      0.000299946159328915       6.762365702498838e-05     0.00030378912732778905    -6.211836868404546e-05     
Lambda        AB|PS|PS_r                4027.4271403796747    All      -0.000367367403044972      0.0002283883014980844     -0.0009054013832314685    0.0001536533273747053      
Lambda        AB|PS|PS_i                4878.086513883864     All      -0.00011908472894214798    -4.54471548807006e-05     -0.0005811406940065479    -1.9474596148044626e-06    
Lambda        AB|PS|PS_g                3171.3719936023213    All      -0.0010155192333907168     0.00020438351397798868    0.0010313791502410525     0.00044338817294844616     
MWEBV         All|All|All               All                   All      -0.3952668174396148        -2.2225292883785386       0.31405035299699247       -0.5811848770613471        
Redshift      All|All|All               All                   All      3.2387978232628085         -0.04473682016765679      1.0730256052716654        -1.0216710539114813        
