#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5235.789055801509     All      0.1968750700164733         0.7642410987903858       0.4827563025494365        0.2063529779228617        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6194.110055445976     All      1.371502283784585          -0.23228691608174756     -0.3086350716995017       -0.5361798712342555       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4299.47672595118      All      -1.0246965134897583        0.6103341151103336       -0.3107341586208121       0.5187166282961044        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    7999.4255539247515    All      0.45372238484785055        -0.14241006998236827     0.13474547794137548       -0.1881668808964985       
Check         All|All|All                       All                   All      0.9974032251591507         0.9998782278366036       -0.0018674498295018216    0.000722854088212127      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5235.789055801509     All      -5.017662359559354e-05     0.000406233940526987     -0.001391276073408253     8.65816749399511e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6194.110055445976     All      -0.00034332012779868324    0.0001355237267446167    -0.0005119391786960976    0.00013312970262603733    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4299.47672595118      All      -0.0007094332135716233     0.0002768131557401867    -0.0010512202594432786    0.00027434175692771364    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    7999.4255539247515    All      -5.120530669545048e-06     7.519200890719763e-06    -8.572235632557032e-05    2.9178134972693014e-07    
MWEBV         All|All|All                       All                   All      -0.7796408245605617        -3.991035953450073       0.030570337526855975      -1.0446928314815414       
Redshift      All|All|All                       All                   All      7.223681460775667          -2.1028290617752354      7.500738285024888         -2.7032278102613985       
