#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5792.705721618355    All      0.43879033952933455        0.22627407165423108        -3.124313061853645        -0.20864728252412146       
Zeropoint     AB|PS|PS_i                7016.221193975595    All      1.1706051589346833         -0.11713663335655156       2.1305646091290984        -0.3243825540197226        
Zeropoint     AB|PS|PS_z                8063.350157736754    All      0.3104752576330253         -0.08653598644503546       0.18527827892568238       -0.12105150484209848       
Zeropoint     AB|PS|PS_g                4561.429431840328    All      -0.9228672235797664        0.9736091593923746         0.8132401655765342        0.6540359236664905         
Check         All|All|All               All                  All      0.997003532517277          0.9962106112450186         0.004769991777669791      -4.5417719451990024e-05    
Lambda        AB|PS|PS_r                5792.705721618355    All      -0.00016573236885171494    -9.701891323633429e-05     4.874598741618478e-05     2.455754263563452e-05      
Lambda        AB|PS|PS_i                7016.221193975595    All      -0.0009618044996231773     0.00010116658628282029     -0.001946794410766531     0.0002593681601403853      
Lambda        AB|PS|PS_z                8063.350157736754    All      -6.424777695549958e-06     8.563980762985007e-06      0.0003564930844559911     2.0790980791207086e-05     
Lambda        AB|PS|PS_g                4561.429431840328    All      1.2713864307411637e-05     -0.00023610145907235783    -0.0011571143394698686    -0.00013268403514239135    
MWEBV         All|All|All               All                  All      -0.6361017211431022        -3.807000260829163         0.17098769294158211       -1.0252355784211935        
Redshift      All|All|All               All                  All      6.9580782540192105         1.0247943735199883         13.18721021485415         -1.3441811338971348        
