#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5792.705721618355    All      0.2836499610594093        0.2682986786533448        -3.9388313627474276       -0.1807723710431473        
Zeropoint     AB|PS|PS_i                7016.221193975595    All      1.209807389488394         -0.15208778856798943      2.365536487064242         -0.3380510356119161        
Zeropoint     AB|PS|PS_z                8063.350157736754    All      0.326477158549125         -0.0965856857768621       0.21329428096207337       -0.12828714261699775       
Zeropoint     AB|PS|PS_g                4561.429431840328    All      -0.8240051589258472       0.9753228516727219        1.3531356846815858        0.6464845600651291         
Check         All|All|All               All                  All      0.9959293501710818        0.9949480559812152        -0.006864910039526384     -0.0006259892069321316     
Lambda        AB|PS|PS_r                5792.705721618355    All      -9.065236456883408e-05    -6.35041131383208e-05     -0.0002061775086830498    -3.5767663161711477e-07    
Lambda        AB|PS|PS_i                7016.221193975595    All      -0.0009920043532688414    8.661623925763137e-05     -0.002586965574961746     0.00023589782044192622     
Lambda        AB|PS|PS_z                8063.350157736754    All      -9.55073906494969e-06     2.965556313383416e-05     0.00044481761399346357    3.2620949614295885e-05     
Lambda        AB|PS|PS_g                4561.429431840328    All      -9.731092556111302e-05    -4.185358684883439e-05    -0.0006239080847885789    -9.777872607086865e-06     
MWEBV         All|All|All               All                  All      -0.6179350224604621       -3.8188987296162935       0.19710053127832117       -1.0338634965376878        
Redshift      All|All|All               All                  All      7.230078814442221         0.38245945472885623       19.190043736805805        -1.3741313901534105        
