#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7230.567706613291     All      0.10798905763471868        0.0036619350083810787      0.11402878263821539       -0.028894195245896447      
Zeropoint     AB|SDSS|SDSS_r            5015.0659069973235    All      0.7101285051249864         0.4560924285563317         0.5520329883458321        -0.05811321080302139       
Zeropoint     AB|SDSS|SDSS_g            3837.959632376006     All      -1.0531095348363169        0.49886759141895           -0.32873572559869435      0.49086004294731134        
Zeropoint     AB|SDSS|SDSS_i            6081.643956483941     All      1.23229878639794           0.04002162726770564        -0.3367684524851642       -0.4033923247950169        
Check         All|All|All               All                   All      0.9973068143213281         0.9986435822513684         0.0005575929001889746     0.00046031210337660333     
Lambda        AB|SDSS|SDSS_z            7230.567706613291     All      -3.589606925347177e-05     -2.456412331161498e-06     -6.134780661457424e-05    8.154725542708014e-06      
Lambda        AB|SDSS|SDSS_r            5015.0659069973235    All      -0.0002504342351232295     -0.00010519532690173207    -0.0020036080822775824    -4.2102735847078635e-05    
Lambda        AB|SDSS|SDSS_g            3837.959632376006     All      -0.001388161086582753      0.0005609605437883501      -0.001046261838580637     0.0005882031786597902      
Lambda        AB|SDSS|SDSS_i            6081.643956483941     All      -0.00024572628144498525    -4.106097274098646e-05     -0.0006536694943637348    3.7495956995494175e-05     
MWEBV         All|All|All               All                   All      -0.555659066459568         -3.1064099289871194        0.053705624999622385      -0.828466837753291         
Redshift      All|All|All               All                   All      6.692975659400002          1.1059964671089162         11.231800396947424        -1.318639263162635         
