#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4123.849012528501    All      -0.301282810858702         -0.3251545179734805        1.5853682578058415        0.06297190364971395        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5063.162602378491    All      -0.9692636494078306        1.7402979592114676         -2.210043998651434        0.7839692445615803         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6154.600197738509    All      0.7244801818874729         1.364605239434269          -2.47827076120819         0.09791594894504041        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7383.600134115295    All      1.5450636162431344         -1.6871008710735325        3.2529405522063737        -0.9076585119427993        
Check         All|All|All                                      All                  All      0.998997337864075          1.0926478095987235         0.14999405015259093       0.03719858521353536        
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4123.849012528501    All      -0.0003889998970364948     1.4656533392609869e-05     0.0006080739670578777     0.0001586197276599459      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5063.162602378491    All      -0.0005538062237488745     0.0010974254092344872      -0.0018931225872550984    0.00045337910049818016     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6154.600197738509    All      -0.00015966574543441908    -0.0005713444434451033     8.559411333102555e-05     -0.00013027762361053218    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7383.600134115295    All      -9.870888916049423e-07     -0.00027038566010435447    -0.0003106462940437902    -0.00010161469495008105    
MWEBV         All|All|All                                      All                  All      -0.6121383084762098        -3.9750819364196666        0.38354008650320903       -1.078305744655543         
Redshift      All|All|All                                      All                  All      12.791105623488736         -4.894700639292449         22.70720030566249         -4.747530886288412         
