#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4123.849012528501    All      -0.6170323571386671        0.4832267661012857         -0.5372662966793722       0.33441486664328296        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5063.162602378491    All      -0.307151721890212         0.42466259731002154        1.3468278284663027        0.2984787399674648         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6154.600197738509    All      0.8646404462729            0.6694270733979657         -1.475881873424331        -0.12944924740523378       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7383.600134115295    All      1.064010418028277          -0.582004569250838         0.700743690904654         -0.504890261115693         
Check         All|All|All                                      All                  All      1.0044667852722982         0.9953118675584349         0.034423349267253434      -0.001445901910179015      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4123.849012528501    All      -0.0006122928569744823     0.0004857412456054712      -0.0005898985546728691    0.0003313413682702836      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5063.162602378491    All      -0.00045492265911873037    0.0005976351595078957      -0.0008628356847199632    0.00030434831590227723     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6154.600197738509    All      -0.0002964850502595843     -0.00010851554484335533    -0.0006662594663662013    3.149575196223433e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7383.600134115295    All      2.5944478714673013e-05     -0.00024648560774685643    -0.0003680380800688992    -0.00010516329101985949    
MWEBV         All|All|All                                      All                  All      -0.6514427662190498        -3.8580978535084576        0.0775063548442987        -1.0410543051061039        
Redshift      All|All|All                                      All                  All      12.260750753088441         -5.174844318646787         17.288722231984487        -4.90783065991966          
