#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_z          6643.705993549405    All      0.9457238076677876         0.04886438971460905        0.6336664617185603        -0.26385899436408333      
Zeropoint     AB|DECam|DECam_g          3511.206807915861    All      -0.5055295800490259        0.29519656609835465        0.018547677173030994      0.2616505465537739        
Zeropoint     AB|DECam|DECam_i          5669.402574764583    All      0.7728753625266918         0.1624782146818049         -0.7641791914668161       -0.23292824008985039      
Zeropoint     AB|DECam|DECam_r          4666.654692288624    All      -0.21883006978155906       0.49345027261402663        0.11908389472286113       0.23732730813440317       
Check         All|All|All               All                  All      0.9942395203638942         0.9999894431087952         0.007118842147636306      0.002190620234243351      
Lambda        AB|DECam|DECam_z          6643.705993549405    All      -0.0004705131748342157     -4.920162638937373e-05     -0.0005690154595647929    0.00011184248549982585    
Lambda        AB|DECam|DECam_g          3511.206807915861    All      -0.001114592966490265      0.0005721291841294586      -0.000302989298295435     0.0005358998751639248     
Lambda        AB|DECam|DECam_i          5669.402574764583    All      -0.00031293702289404577    -0.00012860281147091535    -0.0006227383549522872    3.225376442823031e-05     
Lambda        AB|DECam|DECam_r          4666.654692288624    All      -8.674831769522121e-05     -7.62577558865452e-05      -0.0006417537388915529    -2.522140078809991e-05    
MWEBV         All|All|All               All                  All      -0.43877671481285097       -2.615251455791423         0.03496283377109193       -0.7073891963361344       
Redshift      All|All|All               All                  All      5.6673668463537865         -0.11819480987718123       1.2218316898580046        -1.8300230341108863       
