#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_z          6643.705993549405    All      0.8359776543847457        0.02944795014521162        0.43239907956404977        -0.24341727372614308      
Zeropoint     AB|DECam|DECam_g          3511.206807915861    All      -0.552796634485837        0.32927599104084493        0.19883921324068687        0.2961933543129173        
Zeropoint     AB|DECam|DECam_i          5669.402574764583    All      0.8709214625690478        0.1495467598294553         -0.8291239171983378        -0.2719754656012263       
Zeropoint     AB|DECam|DECam_r          4666.654692288624    All      -0.15907670782688643      0.4906159623587314         0.20117467206468564        0.22060377858582406       
Check         All|All|All               All                  All      0.9950257746410699        0.9988866633742433         0.0032890476710845107      0.0014043935713719813     
Lambda        AB|DECam|DECam_z          6643.705993549405    All      -0.0005034902740415109    -7.137825939887228e-05     -0.0008145135407855778     0.00010440510083225228    
Lambda        AB|DECam|DECam_g          3511.206807915861    All      -0.0011374120835032347    0.0005855415793057413      -5.3463119745147784e-05    0.0005588368779817234     
Lambda        AB|DECam|DECam_i          5669.402574764583    All      -0.0003072500085019292    -8.417806985955539e-05     -0.0004899325792080337     5.079842843350919e-05     
Lambda        AB|DECam|DECam_r          4666.654692288624    All      -8.189935288462037e-05    -0.00014052897869817213    -0.0009713636237300779     -6.244509520018647e-05    
MWEBV         All|All|All               All                  All      -0.4435029826491492       -2.623381439553185         0.0030811687282028544      -0.7099206308756586       
Redshift      All|All|All               All                  All      6.018831531537483         0.11626221482750054        1.6998044709214621         -1.84680654859731         
