#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4020.780809797414     All      -1.1977846854920575        0.33984218954916656        -0.9991522184770862       0.4562680850520728         
Zeropoint     AB|MEGACAMPSF|g           3156.2435595138804    All      -0.3413109744407031        0.06802788642286117        0.16777085911205325       0.14082197673026567        
Zeropoint     AB|MEGACAMPSF|z           5663.132497147101     All      0.7003141718885019         0.021025867261315057       -0.2751686520840083       -0.23354606187709964       
Zeropoint     AB|MEGACAMPSF|i           4911.304765228889     All      1.8269912581981544         0.5714404476211854         1.117579321139036         -0.3591017731533946        
Check         All|All|All               All                   All      0.9882097701538957         1.0003363908545282         0.011029309689994715      0.004442226751844247       
Lambda        AB|MEGACAMPSF|r           4020.780809797414     All      -0.0007971722632131048     0.0001982234127722945      -0.0009079998034113009    0.0002837132582794955      
Lambda        AB|MEGACAMPSF|g           3156.2435595138804    All      -0.000927413611434477      0.00016611536616918703     0.0002348155797771811     0.0003666771048967876      
Lambda        AB|MEGACAMPSF|z           5663.132497147101     All      -5.699663208676315e-05     -7.060083719920061e-06     -6.506035525012396e-05    1.3362631823314691e-05     
Lambda        AB|MEGACAMPSF|i           4911.304765228889     All      -0.00034952398603698944    -0.00016427489969005076    -0.0016534171719380778    -1.3442692576084034e-05    
MWEBV         All|All|All               All                   All      -0.3297271934188388        -2.2030429714577693        0.17856453954150042       -0.6022320638833045        
Redshift      All|All|All               All                   All      3.676988700846143          0.6864393864624674         3.1744837869269222        -0.8324576663109732        
