#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|SDSS|SDSS_u 3492.5733076381102 All -0.27040115782864077 0.1382191888102966 -0.2748333805822254 0.120836538599079
Zeropoint AB|SDSS|SDSS_r 6001.09132106231 All 0.6634770770032076 0.11659987940818439 -0.5151954936366914 -0.20112670365578172
Zeropoint AB|SDSS|SDSS_g 4592.551058661778 All -0.6997733844673928 0.8068010921313391 0.18426327930204556 0.49896369572088345
Zeropoint AB|SDSS|SDSS_z 8652.188807722003 All 0.14656903304445149 -0.0185736759553059 -0.11498135025850575 -0.05892350292676635
Zeropoint AB|SDSS|SDSS_i 7277.372110728337 All 0.5320146064840684 -0.03803993458891419 0.3184088996970116 -0.17147639147051855
Check All|All|All All All 0.3718861742356938 1.0050065498056 -0.4023380454783654 0.18827363626689583
