#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3492.5733076381102    All      -0.309549994287325         0.23834659564272442       0.7528755862156872        0.21206532418293114        
Zeropoint     AB|SDSS|SDSS_r            6001.09132106231      All      0.7973067075564991         0.3147639487147913        -2.2245375126338853       -0.25645094399757334       
Zeropoint     AB|SDSS|SDSS_g            4592.551058661778     All      -0.26322095271205465       0.5128682387182337        -0.7763359400321324       0.21815347480322028        
Zeropoint     AB|SDSS|SDSS_z            8652.188807722003     All      0.20923076825903675        -0.021870471040497108     0.9426997125066127        -0.03320891813880389       
Zeropoint     AB|SDSS|SDSS_i            7277.372110728337     All      0.5673664709854709         -0.046129013692741694     1.354328335230824         -0.13939820936533864       
Check         All|All|All               All                   All      1.001132999801627          0.9979792983425106        0.04903018128710568       0.0011607274844355475      
Lambda        AB|SDSS|SDSS_u            3492.5733076381102    All      -0.00010692112731304199    6.239309946486236e-05     -7.342112704801362e-05    5.187476624505749e-05      
Lambda        AB|SDSS|SDSS_r            6001.09132106231      All      -5.51948343154722e-05      -6.640410102123436e-05    7.650773199688554e-05     -2.3703824826997916e-07    
Lambda        AB|SDSS|SDSS_g            4592.551058661778     All      2.7823507935407054e-05     -7.30800512030728e-05     3.478133307206893e-05     -3.1315477689774076e-05    
Lambda        AB|SDSS|SDSS_z            8652.188807722003     All      -0.00011753794230825817    1.6442686523629316e-05    -0.000661565441436767     1.4119271451156483e-05     
Lambda        AB|SDSS|SDSS_i            7277.372110728337     All      -0.00015319853765897957    1.0696138658602936e-05    -0.0003323912833249212    3.855279169448479e-05      
MWEBV         All|All|All               All                   All      -0.9906670885542739        -3.7969960711828676       1.2191757813184583        -0.8597074594749071        
Redshift      All|All|All               All                   All      3.4264801564960803         0.08083579565774102       5.398714708130854         -0.8488665947310788        
