#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_r          4238.240491029341     All      -0.9789152249179509       0.3505360334370877         -1.8795215313494107       0.34917159887953403       
Zeropoint     AB|DECam|DECam_g          3188.8665107957167    All      -0.20473317158543178      0.14451091961937834        0.39666788795534097       0.1314617563044599        
Zeropoint     AB|DECam|DECam_z          6033.792000698969     All      1.3124990246385282        0.048169679496545825       -0.07197251566900792      -0.41504546572919754      
Zeropoint     AB|DECam|DECam_i          5148.932830196031     All      0.8634319916869461        0.45890425756347497        1.576698169169126         -0.06140719379390908      
Check         All|All|All               All                   All      0.9922826198220915        1.0021208901164869         0.021872010106048334      0.0041806956608872944     
Lambda        AB|DECam|DECam_r          4238.240491029341     All      -0.0008271812070571444    0.00015988293919218683     -0.001777426062647633     0.00024220090412593013    
Lambda        AB|DECam|DECam_g          3188.8665107957167    All      -0.0005702705387780273    0.00035258815962026485     0.0008157184794799648     0.00033700720849740956    
Lambda        AB|DECam|DECam_z          6033.792000698969     All      -0.0001462310622019383    -5.3643896283958735e-05    -0.0006756086426208946    9.375204858946414e-09     
Lambda        AB|DECam|DECam_i          5148.932830196031     All      8.805446406139815e-05     6.744568483122419e-05      -0.0013628023400102818    -6.752856671387055e-05    
MWEBV         All|All|All               All                   All      -0.302095339141748        -2.2377570861191742        0.3572584095152761        -0.6145659103823562       
Redshift      All|All|All               All                   All      5.1261967794149985        0.4486128416896662         5.159016762066244         -1.2934197528736993       
