#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1 6216.765866594151 All 0.22516033803395577 -0.033735067786214046 -0.09528929403456288 -0.0885830746263534
Zeropoint Linear_AB11_off|LOSS|LOSS_K3_B 4361.398558839913 All -0.19935472645292915 0.13728286025153746 0.060691196305783235 0.11236230638383027
Zeropoint Linear_AB11_off|LOSS|LOSS_K3_V 5375.737471263291 All 0.07481544891818355 0.06022258812343928 0.024566644558522865 -0.0036570783355787118
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1 5395.0264072315185 All 0.10111176594095825 0.07629624327460416 0.02943865446221261 -0.0067695201970784935
Zeropoint Linear_AB11_off|LOSS|LOSS_K3_I 7886.115362609291 All 0.033913160371766615 0.0041933230637623 0.0380989633950517 -0.007980547010710826
Zeropoint AB|SDSS|SDSS_i 7429.128130296131 All 0.019351256604469597 0.013883235515461223 0.06177113509600152 0.0009754476935321943
Zeropoint AB|SDSS|SDSS_u 3565.4044086387757 All -0.15627625342624374 0.08711703569491558 0.056517674558918984 0.0818033259074043
Zeropoint Linear_AB11_off|SWOPE|SWOPE_i 7547.668156362546 All 0.050054245168969974 -0.003921995282447632 -0.004869628321312991 -0.017799146427178336
Zeropoint Linear_AB11_off|SWOPE|SWOPE_V-LC-3014 5333.494308381661 All 0.09099689124138297 0.06340646688450491 -0.06862047791548576 -0.012049325677947753
Zeropoint AB|SDSS|SDSS_r 6126.232885639542 All 0.12014404773855823 0.003706659492814346 0.021011218836933798 -0.036989853832274905
Zeropoint Linear_AB11_off|LOSS|LOSS_K3_R 6377.836768717175 All 0.18046239778025996 -0.024491067993970717 -0.05048199262540043 -0.0690128660468764
Zeropoint Linear_AB11_off|SWOPE|SWOPE_B 4365.5502069928725 All -0.22649373400318043 0.1677964394860858 0.12449631805888672 0.13398898015092303
Zeropoint AB|SDSS|SDSS_g 4688.320143672139 All -0.20366975969228615 0.1662147633336568 0.09775500253153635 0.12484591477940177
Zeropoint Linear_AB11_off|SWOPE|SWOPE_r 6173.1884690016295 All 0.22796014761974256 -0.042523018967491666 -0.1875941433280821 -0.09647673101732296
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1 7574.027897011809 All 0.0572050831417977 -0.0065177292030034195 0.0035908322216235966 -0.02059637404900283
Zeropoint Linear_AB11_off|SWOPE|SWOPE_u 3567.6329899941115 All -0.16599640458920567 0.09864400834049292 0.10697758746975516 0.0909760073006694
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1 4362.458378990791 All -0.25474427442016034 0.19629157451525447 0.18552616246299247 0.15519639517682243
Zeropoint Linear_AB11_off|SWOPE|SWOPE_g 4768.954644366563 All -0.23044711305244797 0.24310208414981282 0.2768508381011186 0.16660513420915768
Check All|All|All All All -0.2558074830764083 1.2069684028932146 0.6804366918344935 0.5068389943814164
