#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6216.765866594151     All      0.3256410286192138         -0.014456481424041101      0.03616168406710922        -0.10916721802151823       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4361.398558839913     All      -0.20655010402577306       0.13955283194926338        -0.07441975653793083       0.10941610075874265        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5375.737471263291     All      0.18660638264002505        0.07757294775538881        0.02877228031972236        -0.034231802111020934      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5395.0264072315185    All      0.21476230570545124        0.08665206307805207        0.022412303545011305       -0.0407295625543103        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7886.115362609291     All      0.07454635570711769        -0.01086570818049637       0.016849535517225418       -0.027069601798616998      
Zeropoint     AB|SDSS|SDSS_i                             7429.128130296131     All      0.08237221709753241        -0.008750426717263338      0.034523935549465645       -0.028140998255543635      
Zeropoint     AB|SDSS|SDSS_u                             3565.4044086387757    All      -0.08995709541673258       0.041837424044288696       -0.011977648843317736      0.04239530344282957        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7547.668156362546     All      0.08971090553054611        -0.014681863437626674      0.003438335392354762       -0.03385072215616293       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014      5333.494308381661     All      0.17581660388048267        0.08221358153281955        0.0056494168013529735      -0.030237476301588854      
Zeropoint     AB|SDSS|SDSS_r                             6126.232885639542     All      0.2511235672839529         -0.006528585547904697      0.04780280216718753        -0.08179256317099445       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6377.836768717175     All      0.2642634745361755         -0.02057172252705186       -0.014212408052512851      -0.09341442897929043       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4365.5502069928725    All      -0.1957037464434009        0.13414197509247217        -0.06688408138160304       0.1044568737415614         
Zeropoint     AB|SDSS|SDSS_g                             4688.320143672139     All      -0.1406545562000036        0.15149471210103016        -0.04723167187162809       0.09305489552267777        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6173.1884690016295    All      0.30777993266139075        -0.02234472676923005       -0.04446215635106849       -0.10951660418590137       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7574.027897011809     All      0.1024112293374971         -0.014674634213385218      0.01736668727893411        -0.03736372227806787       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3567.6329899941115    All      -0.10616349507140584       0.04875501563716966        -0.012706085175100242      0.049895041380972886       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4362.458378990791     All      -0.21521330679990033       0.15436536680857316        -0.033947470732104516      0.11886901306780952        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4768.954644366563     All      -0.1254590416443709        0.192612324464303          0.09295470325996424        0.10775444965970327        
Check         All|All|All                                All                   All      0.9953326573977979         0.9963240936463613         9.040495306178453e-05      0.00032697776128105815     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6216.765866594151     All      -8.410928951592904e-05     4.320081570664211e-06      -4.464728222160668e-05     2.6811952254799066e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4361.398558839913     All      -8.393219426832886e-05     2.949165626765649e-05      -0.00017670579186942356    2.9060311742630072e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5375.737471263291     All      3.1093375613971846e-05     2.8033344628589433e-06     -0.00011307958445031449    -1.4261219615897716e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5395.0264072315185    All      3.331609293152571e-05      -8.190602870426221e-06     -0.0002049965568253805     -2.2668151168413376e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7886.115362609291     All      1.5441174502452954e-06     2.1622688341565084e-07     9.448162783599304e-06      -1.0909532728514633e-08    
Lambda        AB|SDSS|SDSS_i                             7429.128130296131     All      -1.7106452791568185e-05    2.4095361758713576e-06     -3.190428271170116e-08     6.355575922054736e-06      
Lambda        AB|SDSS|SDSS_u                             3565.4044086387757    All      -3.5631048770316695e-05    1.1376978474465524e-05     -3.594509830765659e-05     1.3707996344180216e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7547.668156362546     All      -2.19169347843042e-05      8.827903441188114e-08      -3.501326748849343e-05     5.605340772896574e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014      5333.494308381661     All      3.226856238560199e-05      -5.095850028900538e-06     -0.00035050132879342675    -2.7812082885733552e-05    
Lambda        AB|SDSS|SDSS_r                             6126.232885639542     All      -1.667560934625764e-05     -9.720047376039344e-07     -1.655908347292001e-05     4.376224812007708e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6377.836768717175     All      -8.021387002735707e-05     -7.272788082806004e-07     -8.719920656688562e-05     2.2000097693619917e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4365.5502069928725    All      -9.593812326639541e-05     2.6072699138163002e-05     -0.00025508471611666714    2.8359679575431597e-05     
Lambda        AB|SDSS|SDSS_g                             4688.320143672139     All      -1.22200472661714e-05      -2.177397442240245e-05     -0.00015206253902249294    -9.897881108245143e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6173.1884690016295    All      -6.994464101898878e-05     -5.5752904864349245e-06    -0.0001136368801229527     1.58961231126089e-05       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7574.027897011809     All      -2.8717260877238973e-05    2.2240076039151534e-06     -2.562506836380912e-05     8.935059972414423e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3567.6329899941115    All      -0.00016486151449326118    4.482940704802311e-05      -0.0002182458838562494     5.8563920342989625e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4362.458378990791     All      -8.705407926411969e-05     1.7487613926016446e-05     -0.00025682586787160165    2.259170986701196e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4768.954644366563     All      -4.618960204553581e-05     -4.7394525829405836e-05    -0.0005534836868420084     -2.5091918202353486e-05    
MWEBV         All|All|All                                All                   All      -1.0068680725719341        -4.007543196290042         0.015390752397535698       -0.9767317884819694        
Redshift      All|All|All                                All                   All      4.652008702573051          0.5611761522040126         1.8874531249239477         -1.248290381841843         
