#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K3_V
@MAGSYS  Linear_AB11_off
53674.34  17.156  0.035
53675.23  16.917  0.024
53677.23  16.545  0.022
53679.28  16.249  0.018
53680.2  16.163  0.016
53684.25  15.878  0.073
53689.2  15.822  0.03
53690.25  15.799  0.024
53691.21  15.847  0.018
53692.2  15.863  0.015
53693.18  15.905  0.017
53694.23  15.969  0.018
53695.24  16.024  0.018
53696.16  16.098  0.018
53697.15  16.155  0.021
53698.19  16.238  0.015
53701.21  16.503  0.017
53708.17  16.988  0.03
53710.19  17.084  0.037
53718.13  17.359  0.038
53747.1  17.981  0.13
53757.11  18.168  0.074
53760.11  18.197  0.083
