#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4645.264183320852    All      -1.036230925785657         0.9951980737541888        0.42912901790570307       0.6808533143299437        
Zeropoint     AB|PS|PS_i                7145.172692386043    All      0.8022022342766812         -0.25910423373716185      0.7444735589409951        -0.31247999688564393      
Zeropoint     AB|PS|PS_z                8211.546894456098    All      0.35092192273174916        -0.14490250352992007      0.3138938806776755        -0.14749868554033477      
Zeropoint     AB|PS|PS_r                5899.170164799657    All      0.878911659031427          0.40737155906214184       -1.515806208617796        -0.2212395930130043       
Check         All|All|All               All                  All      0.9958048902542006         0.9985628955492487        -0.028309751093422264     -0.0003649611090393301    
Lambda        AB|PS|PS_g                4645.264183320852    All      -0.00022087124969441167    1.4696827468902922e-05    -0.0005169684095438814    5.366234692371428e-05     
Lambda        AB|PS|PS_i                7145.172692386043    All      -0.0004968281247448822     0.0002704689907367653     -0.001668194807007753     0.00017549004134253596    
Lambda        AB|PS|PS_z                8211.546894456098    All      0.0002324361899051386      -7.707353485783357e-05    0.0003920590447744451     -8.332170541657109e-05    
Lambda        AB|PS|PS_r                5899.170164799657    All      -0.0002735753043544999     0.00011759302974213634    -0.0012240654562559717    7.279197608780721e-05     
MWEBV         All|All|All               All                  All      -0.6467856200361846        -3.9351332081716706       0.15077629473788873       -1.0643945393343308       
Redshift      All|All|All               All                  All      7.834213578279394          -2.547051938524092        18.20642236805266         -2.569050701101066        
