#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_z          7557.106439771622     All      0.9409202348597978         0.2351844926700153         1.5086328797559392         -0.16255799272417554       
Zeropoint     AB|DECam|DECam_r          5308.243059148936     All      0.2568781098181845         0.2737728624786939         -0.45168369832377253       -0.014653392185618053      
Zeropoint     AB|DECam|DECam_i          6448.852304573708     All      0.4241378886280169         -0.22159933613004057       -1.3544042274585755        -0.27077869834523854       
Zeropoint     AB|DECam|DECam_g          3993.9400697794576    All      -0.6288873757133424        0.7095358878935087         0.28754812843023514        0.4488004420852747         
Check         All|All|All               All                   All      0.9930488575926569         0.9968939069121774         -0.009906917596173792      0.0008103588302425524      
Lambda        AB|DECam|DECam_z          7557.106439771622     All      -0.00020053079460057173    -4.725436727161954e-05     -0.0003808855591216439     3.2930001866217255e-05     
Lambda        AB|DECam|DECam_r          5308.243059148936     All      0.00019122435382864323     0.00020132121297055774     -0.00030838726550878485    -1.0473028088856361e-05    
Lambda        AB|DECam|DECam_i          6448.852304573708     All      -5.668845101425454e-05     -1.1642604690590432e-06    -9.90396418896947e-06      1.7644087117689472e-05     
Lambda        AB|DECam|DECam_g          3993.9400697794576    All      -0.0004587353323294216     0.0004049915096157106      -0.0007346394950359813     0.0002485606616043006      
MWEBV         All|All|All               All                   All      -0.4256251973698535        -3.152250464735573         0.2836769478813695         -0.8754923535850073        
Redshift      All|All|All               All                   All      3.7596500128992774         -0.6195506605228829        -3.86385850985372          -1.5988759899909186        
