#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6139.952506513851    All      1.5390758315677957         -0.11609486537128566      0.8709416600292119         -0.5002774232948142       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4657.761530911035    All      -0.5884392113473818        0.578878550099593         0.7505340750966094         0.4137266872101662        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4325.960686786453    All      -1.3637718252871749        0.4843545654304504        -3.3228384845317067        0.45371254668950534       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5421.226994961502    All      0.6286259888725271         0.09134505394704506       0.017935374394492665       -0.17420970313792722      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7450.687783322795    All      0.7731163418249416         -0.0801043963493564       1.6797333436837285         -0.20296328015948772      
Check         All|All|All                      All                  All      0.9886071256307082         0.9583789077564464        -0.0036940313276641046     -0.01001117269255758      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6139.952506513851    All      -0.0005036804772252869     -1.630937690740916e-05    -0.002211438559152056      6.006645528144824e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4657.761530911035    All      -0.00021336557475417592    0.00018611290529254747    -4.091964109220551e-05     0.0001282972277580102     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4325.960686786453    All      -0.0004935286069976454     0.00022177609368906516    -0.00027718065434500247    0.00022062897428060108    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5421.226994961502    All      0.000279437169804397       4.326910359953348e-05     -0.0015067693641867763     -0.0001441679052437954    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7450.687783322795    All      -0.00012508507650659542    -6.472500850763181e-06    -0.0007509387692957628     5.1250697922842795e-06    
MWEBV         All|All|All                      All                  All      -0.8609180783282704        -4.052534642955941        0.22048322305603385        -1.02977536256319         
Redshift      All|All|All                      All                  All      4.197110778941066          -1.3535451131643228       7.105264882884965          -1.4909558967915792       
