#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6139.952506513851    All      1.1038495370810946         -0.08975032852696074       -0.16631693786554874       -0.39621670556861094       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4657.761530911035    All      -0.643403528215001         0.6573205609217148         0.8129654084578308         0.45996754074769985        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4325.960686786453    All      -0.6775789969417438        0.35655212605210096        -0.5523951169015624        0.3121996716541794         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5421.226994961502    All      0.7457174456638962         0.14361631404344877        -0.5146844335790786        -0.2190921495181698        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7450.687783322795    All      0.4694006726516            -0.07114092801767669       0.42318328270057787        -0.15718745633201875       
Check         All|All|All                      All                  All      0.9979851302398463         0.9965977444726271         0.002752202812219051       -0.00032909901692024235    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6139.952506513851    All      -0.0002137449025453663     1.4053813672962362e-05     -9.40162484362217e-05      7.000602286077078e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4657.761530911035    All      -0.0001317572127693582     -4.6888846028730636e-05    -0.0010177961955260498     -1.7775150503726793e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4325.960686786453    All      -0.0001856900038770146     5.970781975713731e-05      -0.00037443168690057797    6.322497802240154e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5421.226994961502    All      -2.72178610152205e-05      1.5639961042615328e-05     -0.00144114065407164       -5.035128584689866e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7450.687783322795    All      -0.00011142307075719744    -1.091953209899411e-06     -0.0005100629982362054     1.317670579444231e-05      
MWEBV         All|All|All                      All                  All      -0.8668580072506442        -4.047488135096344         0.05749455398627463        -1.033470154380971         
Redshift      All|All|All                      All                  All      4.245292663361405          0.29036181284993745        6.267831341338339          -1.0085465657159984        
