#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                   ds/dP                      dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5203.748130012141     All      -2.026778717378468        2.0217180536059587       0.16261629478004913        1.3259854082636136       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6231.4935309156335    All      3.022396719718871         -1.0156738318606529      -0.15465981486961766       -1.3222341844353946      
Check         All|All|All                            All                   All      0.995618002340403         1.0060442217453058       0.007956479910431469       0.003751223828218908     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5203.748130012141     All      -0.0004891658200926658    0.0004884497992545924    -0.00013100312909272987    0.0003125955018441545    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6231.4935309156335    All      -0.000531536083191907     9.883002158409302e-05    -0.0006916095655205409     0.0001744676202930573    
MWEBV         All|All|All                            All                   All      -0.5200662539035679       -2.9661001072037507      -0.005736710748105445      -0.7970097011963106      
Redshift      All|All|All                            All                   All      5.363811937563275         -1.5372549841940142      1.389024506096126          -2.1859187506260978      
