#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5203.748130012141     All      -1.9361836826175267       1.8633138951971162         -0.20938274614944918       1.228277570551195         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6231.4935309156335    All      2.933222939444761         -0.8597213423469086        0.20925202972826476        -1.226148779712996        
Check         All|All|All                            All                   All      0.9970392568272343        1.0035925528502077         -0.00013071642118442361    0.0021287908381990572     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5203.748130012141     All      6.943017500374293e-05     -0.00012014059777599617    -0.0006696920344587056     -9.163471710116669e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6231.4935309156335    All      -0.0006851853368923794    0.00016658623445391102     -0.0003543583592329779     0.0002616366371763428     
MWEBV         All|All|All                            All                   All      -0.5178606440373765       -2.968572239815792         -0.009930041017347553      -0.7987205248852745       
Redshift      All|All|All                            All                   All      5.212091897479285         0.19817521461629184        2.073657524951472          -1.5406598051936944       
