#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                    dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5912.7588729221725    All      3.327197482020066         -0.6200544665563967       0.7528252065285623       -1.2521546890169544       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4937.581620767635     All      -2.3299418146679036       1.6235385738086805        -0.7510579109917537      1.2542623630849232        
Check         All|All|All                            All                   All      0.9972556673521621        1.0034841072522838        0.0017672955368086551    0.0021076740679688566     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5912.7588729221725    All      -0.0007181618519314155    0.0001246562697897654     -0.001201227379672092    0.0002209283292202294     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4937.581620767635     All      -0.0009064520292059363    0.00011784769787554499    -0.00317820619313386     0.00019181937414402035    
MWEBV         All|All|All                            All                   All      -0.4122275401621298       -2.7751529267982633       -0.020746985754943603    -0.7706083790503455       
Redshift      All|All|All                            All                   All      3.330737167235638         0.3511367131968868        13.556016200778926       -0.36561115131336747      
