#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                   ds/dP                    dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5912.7588729221725    All      3.281113366377839         -0.5942763804432261      0.5237066577142506       -1.2389713142391574       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4937.581620767635     All      -2.282494845526359        1.5967594160750664       -0.509708497684721       1.2408547874327749        
Check         All|All|All                            All                   All      0.9986185208514803        1.0024830356318404       0.013998160029529583     0.0018834731936174798     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5912.7588729221725    All      -0.0005277121094544404    9.280882075523335e-05    0.0002879954637121979    0.00021497599633167586    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4937.581620767635     All      -0.0007564191176372631    2.781862679766454e-05    -0.002428360080760797    0.00014708547666797997    
MWEBV         All|All|All                            All                   All      -0.412088323357227        -2.7760192219174584      -0.01959051754364038     -0.7708842994995798       
Redshift      All|All|All                            All                   All      4.4737548999064           0.6133826942894771       14.52130349001065        -0.6094311490180662       
