#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  NICMOS2
@BAND  F110W_faint
@MAGSYS  VEGAHST
53485.89999999991  0.496592321450337  0.032016349807778274  22.92
53491.799999999814  0.5345643593969718  0.03446448683547751  22.92
