#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     VEGAHST|ACSWF|F775W            3646.584900150614    All      -1.1426931136605334        0.0880637254805805         -0.2054813159269558        0.3917283058173033         
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5474.031871188189    All      2.296005831635157          0.21546335211262146        -0.08120794444064772       -0.6813250709807506        
Zeropoint     VEGAHST|ACSWF|F850LP           4283.158832518156    All      -0.16313770751191758       0.6950146064902185         0.2871252086158992         0.29234152038518385        
Check         All|All|All                    All                  All      0.9901750104627057         0.9985416840834205         0.00043594824829568113     0.002744755221736561       
Lambda        VEGAHST|ACSWF|F775W            3646.584900150614    All      -0.0015848624800904108     0.00012748195124481827     -0.00016457027269489429    0.0005504229003179247      
Lambda        VEGAHST|NICMOS2|F110W_faint    5474.031871188189    All      0.0004814875657628031      4.414293435890615e-05      -2.3329073116815963e-05    -0.00014349860404589603    
Lambda        VEGAHST|ACSWF|F850LP           4283.158832518156    All      -0.00018946398438638448    -0.00017128569033650863    -0.0024315228341200692     -0.00010258642808618034    
MWEBV         All|All|All                    All                  All      -0.07517326370832178       -1.3705869981851748        -0.024382018390588275      -0.4230469286633107        
Redshift      All|All|All                    All                  All      2.90416235393167           0.3971847204363499         -2.4569181936812603        -0.9262460671106362        
