#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     VEGAHST|ACSWF|F775W            3646.584900150614    All      -0.995276352678757        0.0911882371303463        -0.08183252998416046       0.35024545055416073       
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5474.031871188189    All      1.9518279104277074        0.2139373001538658        -0.018171280590106864      -0.5668990474640673       
Zeropoint     VEGAHST|ACSWF|F850LP           4283.158832518156    All      0.03690384454185769       0.6934774343232419        0.11536836698849973        0.2190159791722504        
Check         All|All|All                    All                  All      0.9934554022908081        0.998602971607454         0.0153645564142324         0.002362382262343865      
Lambda        VEGAHST|ACSWF|F775W            3646.584900150614    All      -0.0012361708811317183    0.00011038728132117087    -0.0010187393631663068     0.0003931566350811418     
Lambda        VEGAHST|NICMOS2|F110W_faint    5474.031871188189    All      0.000513564292061971      3.4799409701409724e-05    -0.00018230896923455316    -0.0001640850850637443    
Lambda        VEGAHST|ACSWF|F850LP           4283.158832518156    All      -0.0004643748169732207    -0.0001788452183498502    -0.0020651918191083797     8.463581125480359e-07     
MWEBV         All|All|All                    All                  All      -0.08188525413355219      -1.3692005532160323       -0.008339420554537291      -0.4196930943643165       
Redshift      All|All|All                    All                  All      2.898851473302499         0.396259612268679         -3.113885483128531         -0.9541349095187064       
