#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    4290.528924876086    All      0.2878641605893467        0.5591978866503311        -1.2918582392606026       0.030732621264586913       
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    3530.72334836916     All      -0.8109717703594053       0.18042632089692034       0.6882719591015172        0.35364539076652557        
Zeropoint     VEGAHST|NICMOS2|F110W_faint         6229.172070273195    All      1.5182363743751761        0.2591009598218008        0.6015639890027193        -0.38329679089902374       
Check         All|All|All                         All                  All      0.9951287646051177        0.9987251673690523        -0.002022291156366096     0.00108122113208875        
Lambda        Linear_AB11_off|Knop|Bessell12_I    4290.528924876086    All      -0.0004756302486771747    -8.4922194025104e-05      -0.003782623624491298     -4.1534652085745e-05       
Lambda        Linear_AB11_off|Knop|Bessell12_R    3530.72334836916     All      -0.0008702238195344076    0.00018943715341048886    0.0020825774420032686     0.00043810230700304376     
Lambda        VEGAHST|NICMOS2|F110W_faint         6229.172070273195    All      8.452806145880936e-05     1.3204833851751354e-05    -0.0001286993202310785    -2.8975581263425328e-05    
MWEBV         All|All|All                         All                  All      -0.2262544167422338       -1.6744639260027228       0.009190330175350026      -0.4713193596177414        
Redshift      All|All|All                         All                  All      3.4015968220560975        0.27971889032638586       -1.5009114023300234       -1.0838771315468811        
