#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    4290.528924876086    All      -0.083576688589178        0.510734926912626         -1.287692029649433        0.13612306431264876       
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    3530.72334836916     All      -0.9244444768928719       0.22819045745574584       0.4782728747921905        0.39679424045444556       
Zeropoint     VEGAHST|NICMOS2|F110W_faint         6229.172070273195    All      2.0126296255156317        0.26141414329501345       0.8002296654830421        -0.5347179211887432       
Check         All|All|All                         All                  All      1.0046084600335818        1.0003395276633853        -0.009189489374200388     -0.0018006164216488596    
Lambda        Linear_AB11_off|Knop|Bessell12_I    4290.528924876086    All      -0.0002812323341000977    -2.338253378428779e-05    -0.003912391336296165     -9.06018934061123e-05     
Lambda        Linear_AB11_off|Knop|Bessell12_R    3530.72334836916     All      -0.0011171269213964916    0.00023542036401727806    0.0020509340941432803     0.0005320929173652766     
Lambda        VEGAHST|NICMOS2|F110W_faint         6229.172070273195    All      0.00011069195697879094    1.8137941154054998e-05    -0.0003130635502912009    -4.411847629141058e-05    
MWEBV         All|All|All                         All                  All      -0.16775418424498123      -1.6793221203917241       0.0012845989181203138     -0.49231008016122485      
Redshift      All|All|All                         All                  All      3.7197062831980148        0.034563494386752325      -0.8388843445425269       -1.2378077993529606       
