#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5330.658151221909    All      -0.0390711358121536        0.6646529274197732         -0.677125619183409         0.19900907276996738        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4310.409729628528    All      -0.9751559363746543        0.7905874542668556         0.15981094693066233        0.5822923421403944         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7483.661895087278    All      0.5290317972551843         0.015419563807839154       0.48683814338407666        -0.14557505140186536       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6142.593407249678    All      1.4762481951183997         -0.45986534622599606       0.032847259119163905       -0.6291900543469284        
Check         All|All|All                                All                  All      0.9910529201867759         1.010794599268472          0.0023707302504939326      0.006536309161567999       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5330.658151221909    All      -0.0003680777437979682     0.0005716072262599201      -0.002883869774045894      0.0001773924465842348      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4310.409729628528    All      -0.00088896860850985       0.0008478653728079287      -0.0002450187326142939     0.0005548099071497135      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7483.661895087278    All      -7.435183603929008e-05     -0.00010951886624957472    -0.00021167667289661034    -2.0901216416000086e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6142.593407249678    All      -0.00028203173912763813    3.9373641117522166e-05     -0.0008609490678403261     6.627210356711257e-05      
MWEBV         All|All|All                                All                  All      -0.8420327963584677        -3.9919880582210965        0.08264129750965905        -1.022356157688536         
Redshift      All|All|All                                All                  All      11.274106697956363         -4.228643108958785         19.059403418723242         -4.199221999527708         
