#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5330.658151221909    All      0.03676629602146597        0.42413334669202385        -0.29136442230699444       0.11317593642166113       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4310.409729628528    All      -0.8316714307379282        0.6339107626864404         0.08021801707753795        0.48096809829445974       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7483.661895087278    All      0.6515665268851412         -0.183966275663483         0.09950428075473639        -0.2677201029593568       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6142.593407249678    All      1.1400199568235767         0.1235117415283149         0.11695870523524832        -0.32589083800587393      
Check         All|All|All                                All                  All      0.9966813489922557         0.9975895752432962         0.005316580760528211       0.0005330937508901679     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5330.658151221909    All      0.0002513282960178088      -0.00028232324312055604    -0.0025468271203356496     -0.0002874810601382244    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4310.409729628528    All      -0.0008855085613340013     0.0006769604161836644      -0.00039545643059641874    0.0004913001454481942     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7483.661895087278    All      -0.00011024922572393848    -2.4547686489223856e-05    3.1400086300448556e-05     2.9317052461848885e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6142.593407249678    All      -7.093657848443515e-05     -0.00026115400762003865    -5.0815442752878414e-05    -6.422773446017845e-05    
MWEBV         All|All|All                                All                  All      -0.8011651618709807        -4.039292859329535         0.033160266910847724       -1.0532849318865694       
Redshift      All|All|All                                All                  All      8.280259551796995          0.9164881849986983         10.234162577144712         -1.9419189230389156       
