#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5257.443118096121    All      -0.08754700280433597       0.44641746210736244       -1.3423159782264715       0.11402839605689635       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6033.066794345745    All      1.1085404029822064         -0.044017316914590765     -1.2955370908197539       -0.4332398375697405       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4297.41957990193     All      -0.840570818347676         0.728835295300545         1.0031134152924004        0.5559715477339674        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7392.359412335058    All      0.8175380418599828         -0.13356404974302905      1.641313830220481         -0.23656094360351987      
Check         All|All|All                                All                  All      0.9979606236901771         0.9976713907502877        0.006574176466656034      0.00019916261760338783    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5257.443118096121    All      -0.0001275881101222033     0.0001230278309583858     -0.0009943873265458032    3.72589177015681e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6033.066794345745    All      -0.00012714893837760148    -2.187626830562462e-05    -0.0003978745129263965    1.6535459870052286e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4297.41957990193     All      -0.0002009585831502909     0.0001394168665897712     2.6598339899508088e-06    0.00011099017817481608    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7392.359412335058    All      -0.0003063981811892585     2.6109738520454864e-05    -0.0010460854932288653    6.162677756917225e-05     
MWEBV         All|All|All                                All                  All      -0.7765411799835138        -3.963660796493862        0.20564367386063376       -1.028972779541186        
Redshift      All|All|All                                All                  All      6.63645269500339           -0.5351274959012997       5.234792162005331         -2.102414874498358        
