#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5257.443118096121    All      -0.04065981861915369       0.4470129099534148         -1.2121488803938707        0.10475841431876488       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6033.066794345745    All      1.1809735942087827         -0.05057875542462398       -0.8976137448335108        -0.44121349598553666      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4297.41957990193     All      -0.893346207991144         0.7282991857591625         0.8217264583995105         0.5648931330785145        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7392.359412335058    All      0.7507402026024435         -0.12700340798286192       1.2923819396090483         -0.22823690060549376      
Check         All|All|All                                All                  All      0.9977077702009285         0.9977299323050914         0.004345772781177537       0.00020115080624896753    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5257.443118096121    All      -8.370430083736377e-05     8.058972231387722e-05      -0.0009292596537722353     1.2047378040535748e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6033.066794345745    All      -0.00018685029583771434    -7.4250713788946375e-06    -0.00048420193623511533    3.6836989965670655e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4297.41957990193     All      -0.00016475490803000495    8.740761072962948e-05      -0.00017399670247666735    7.437295456688307e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7392.359412335058    All      -0.0002921279865654413     2.847010506245503e-05      -0.0008990049273667935     6.431088487903766e-05     
MWEBV         All|All|All                                All                  All      -0.7822641341933161        -3.962258999609425         0.16020160102710618        -1.0286798847151124       
Redshift      All|All|All                                All                  All      7.045331034576542          -0.19170277615714326       6.664276086243617          -2.0599439696802313       
