#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4329.311411357551    All      -0.7752714641949501        0.4690202891012518         -0.24692794555600345       0.39428749992020506       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5416.196344828086    All      0.6326522581312918         0.2173571041781841         -0.1488204017282427        -0.1419164654690153       
Zeropoint     AB|CNIa02|SDSS_g                      4673.527968294221    All      -0.49445625857093634       0.4978841641445797         0.24832122412833083        0.3343193584433542        
Zeropoint     AB|CNIa02|SDSS_i                      7405.688398613838    All      0.4493424915072289         -0.07806346099750172       0.13366113911888783        -0.16582878711577947      
Zeropoint     AB|CNIa02|SDSS_r                      6106.903934443097    All      1.1867124296193206         -0.10914144681262172       0.014331266959652752       -0.4214627012568306       
Check         All|All|All                           All                  All      0.9989794564919549         0.9970566496138922         0.0005652829226252785      -0.0006010954780661382    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4329.311411357551    All      -0.0002659917325917198     6.774729712074612e-05      -0.0006157852485145467     8.123011422344398e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5416.196344828086    All      7.984708238965888e-05      -1.882472854579209e-05     -0.000752495302676611      -6.572106430037351e-05    
Lambda        AB|CNIa02|SDSS_g                      4673.527968294221    All      -9.254822155376402e-05     1.6270943742247827e-05     -0.00032980412787082347    2.0728338689807505e-05    
Lambda        AB|CNIa02|SDSS_i                      7405.688398613838    All      -8.497051878624989e-05     -1.8596886842167952e-05    -0.0003776524779794751     4.76717995468855e-06      
Lambda        AB|CNIa02|SDSS_r                      6106.903934443097    All      -0.00012054567240133815    -2.1768431978534356e-05    -0.00043674589615716214    1.2685033436245138e-05    
MWEBV         All|All|All                           All                  All      -0.8872966744068389        -4.052041374856419         0.009904734825771864       -1.030419463120016        
Redshift      All|All|All                           All                  All      4.59139272693368           0.004599574571173548       2.9295265110808923         -1.3633381173760342       
